Gene ID	Description
ENSOCUG00000012231	
ENSOCUG00000021536	
ENSOCUG00000021116	
ENSOCUG00000011164	THAP domain containing 4
ENSOCUG00000002218	
ENSOCUG00000021604	autophagy related 4B cysteine peptidase
ENSOCUG00000023715	
ENSOCUG00000015888	
ENSOCUG00000005955	deoxythymidylate kinase
ENSOCUG00000009286	zinc finger CCHC-type containing 14
ENSOCUG00000017547	
ENSOCUG00000024916	inhibitor of growth family member 5
ENSOCUG00000022982	D-2-hydroxyglutarate dehydrogenase
ENSOCUG00000025903	
ENSOCUG00000024667	CCAAT/enhancer binding protein beta
ENSOCUG00000024984	
ENSOCUG00000003870	fibroblast growth factor 19
ENSOCUG00000025043	
ENSOCUG00000000648	
ENSOCUG00000022970	
ENSOCUG00000004955	galactose-3-O-sulfotransferase 2
ENSOCUG00000026128	
ENSOCUG00000021920	neuraminidase 4
ENSOCUG00000008973	zyg-11 related cell cycle regulator
ENSOCUG00000023626	forkhead box H1
ENSOCUG00000022592	cation channel sperm associated auxiliary subunit delta
ENSOCUG00000008079	programmed cell death 1
ENSOCUG00000023225	colony stimulating factor 2 receptor alpha subunit
ENSOCUG00000021815	
ENSOCUG00000029005	chromosome 1 open reading frame 145
ENSOCUG00000026272	
ENSOCUG00000023302	
ENSOCUG00000026197	
ENSOCUG00000024934	IBA57 homolog, iron-sulfur cluster assembly
ENSOCUG00000007829	solute carrier family 17 member 9
ENSOCUG00000026836	
ENSOCUG00000024447	
ENSOCUG00000024517	gap junction protein gamma 2
ENSOCUG00000011442	
ENSOCUG00000001290	synaptotagmin 12
ENSOCUG00000029360	
ENSOCUG00000006273	aspartate beta-hydroxylase domain containing 2
ENSOCUG00000029066	
ENSOCUG00000022377	
ENSOCUG00000027792	transmembrane protein 52
ENSOCUG00000027935	guanylate kinase 1
ENSOCUG00000006284	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2
ENSOCUG00000026172	ubiquitin conjugating enzyme E2 V1
ENSOCUG00000023746	
ENSOCUG00000015313	COX20, cytochrome c oxidase assembly factor
ENSOCUG00000027832	
ENSOCUG00000016872	TBC1 domain family member 13
ENSOCUG00000022854	
ENSOCUG00000025742	DMRT like family C2
ENSOCUG00000024419	
ENSOCUG00000023982	
ENSOCUG00000001946	
ENSOCUG00000014628	scaffold attachment factor B
ENSOCUG00000015380	
ENSOCUG00000009545	
ENSOCUG00000014029	SET domain containing 4
ENSOCUG00000000306	canopy FGF signaling regulator 4
ENSOCUG00000025634	chromosome 1 open reading frame 35
ENSOCUG00000001508	CUB and zona pellucida like domains 1
ENSOCUG00000027436	
ENSOCUG00000007310	pseudouridylate synthase 1
ENSOCUG00000021140	
ENSOCUG00000023645	
ENSOCUG00000021938	prostaglandin-E(2) 9-reductase-like 
ENSOCUG00000017653	cystathionine beta-synthase 
ENSOCUG00000015070	unc-51 like autophagy activating kinase 1
ENSOCUG00000021043	
ENSOCUG00000024080	SH3 domain binding protein 1
ENSOCUG00000024624	
ENSOCUG00000021275	endonuclease G
ENSOCUG00000006293	SRR1 domain containing
ENSOCUG00000023479	TATA-box binding protein associated factor 6
ENSOCUG00000027184	Oryctolagus cuniculus carbonyl reductase 1 (CBR1), mRNA.
ENSOCUG00000025051	
ENSOCUG00000004048	Wnt family member 3A
ENSOCUG00000015702	erythropoietin receptor
ENSOCUG00000021184	
ENSOCUG00000006298	tuftelin interacting protein 11
ENSOCUG00000025317	protein tyrosine phosphatase type IVA, member 3
ENSOCUG00000000243	insulin
ENSOCUG00000008745	
ENSOCUG00000004922	protein kinase N1
ENSOCUG00000027409	
ENSOCUG00000029118	
ENSOCUG00000013340	IKAROS family zinc finger 5
ENSOCUG00000023831	
ENSOCUG00000027299	pentraxin 4
ENSOCUG00000023525	SEC14 like lipid binding 1
ENSOCUG00000005330	acyl-CoA dehydrogenase, short/branched chain
ENSOCUG00000005382	zinc finger protein 575
ENSOCUG00000029250	
ENSOCUG00000008882	
ENSOCUG00000000521	telomere maintenance 2
ENSOCUG00000024660	
ENSOCUG00000021369	SWIM-type zinc finger 7 associated protein 1
ENSOCUG00000026485	
ENSOCUG00000021156	
ENSOCUG00000026154	phospholipid phosphatase related 2
ENSOCUG00000017388	
ENSOCUG00000029573	
ENSOCUG00000005387	X-ray repair cross complementing 1
ENSOCUG00000029534	
ENSOCUG00000029430	
ENSOCUG00000022539	
